Mejores Hiperparámetros para LSTM:
Parámetros: {'units': 150, 'dropout_rate': 0.2, 'epochs': 100}
Error Cuadrático Medio (MSE) de la mejor combinación: 0.0098

Resultados de cada combinación de hiperparámetros:
Parámetros: units=50.0, dropout_rate=0.2, epochs=50.0, MSE: 0.0118
Parámetros: units=50.0, dropout_rate=0.2, epochs=100.0, MSE: 0.0117
Parámetros: units=50.0, dropout_rate=0.2, epochs=200.0, MSE: 0.0115
Parámetros: units=50.0, dropout_rate=0.3, epochs=50.0, MSE: 0.0118
Parámetros: units=50.0, dropout_rate=0.3, epochs=100.0, MSE: 0.0116
Parámetros: units=50.0, dropout_rate=0.3, epochs=200.0, MSE: 0.0119
Parámetros: units=50.0, dropout_rate=0.4, epochs=50.0, MSE: 0.0120
Parámetros: units=50.0, dropout_rate=0.4, epochs=100.0, MSE: 0.0113
Parámetros: units=50.0, dropout_rate=0.4, epochs=200.0, MSE: 0.0120
Parámetros: units=50.0, dropout_rate=0.5, epochs=50.0, MSE: 0.0124
Parámetros: units=50.0, dropout_rate=0.5, epochs=100.0, MSE: 0.0117
Parámetros: units=50.0, dropout_rate=0.5, epochs=200.0, MSE: 0.0125
Parámetros: units=100.0, dropout_rate=0.2, epochs=50.0, MSE: 0.0307
Parámetros: units=100.0, dropout_rate=0.2, epochs=100.0, MSE: 0.0105
Parámetros: units=100.0, dropout_rate=0.2, epochs=200.0, MSE: 0.0106
Parámetros: units=100.0, dropout_rate=0.3, epochs=50.0, MSE: 0.0110
Parámetros: units=100.0, dropout_rate=0.3, epochs=100.0, MSE: 0.0109
Parámetros: units=100.0, dropout_rate=0.3, epochs=200.0, MSE: 0.0108
Parámetros: units=100.0, dropout_rate=0.4, epochs=50.0, MSE: 0.0107
Parámetros: units=100.0, dropout_rate=0.4, epochs=100.0, MSE: 0.0105
Parámetros: units=100.0, dropout_rate=0.4, epochs=200.0, MSE: 0.0109
Parámetros: units=100.0, dropout_rate=0.5, epochs=50.0, MSE: 0.0105
Parámetros: units=100.0, dropout_rate=0.5, epochs=100.0, MSE: 0.0106
Parámetros: units=100.0, dropout_rate=0.5, epochs=200.0, MSE: 0.0111
Parámetros: units=150.0, dropout_rate=0.2, epochs=50.0, MSE: 0.0128
Parámetros: units=150.0, dropout_rate=0.2, epochs=100.0, MSE: 0.0098
Parámetros: units=150.0, dropout_rate=0.2, epochs=200.0, MSE: 0.0109
Parámetros: units=150.0, dropout_rate=0.3, epochs=50.0, MSE: 0.0253
Parámetros: units=150.0, dropout_rate=0.3, epochs=100.0, MSE: 0.0105
Parámetros: units=150.0, dropout_rate=0.3, epochs=200.0, MSE: 0.0108
Parámetros: units=150.0, dropout_rate=0.4, epochs=50.0, MSE: 0.0106
Parámetros: units=150.0, dropout_rate=0.4, epochs=100.0, MSE: 0.0105
Parámetros: units=150.0, dropout_rate=0.4, epochs=200.0, MSE: 0.0114
Parámetros: units=150.0, dropout_rate=0.5, epochs=50.0, MSE: 0.0105
Parámetros: units=150.0, dropout_rate=0.5, epochs=100.0, MSE: 0.0110
Parámetros: units=150.0, dropout_rate=0.5, epochs=200.0, MSE: 0.0103
Parámetros: units=200.0, dropout_rate=0.2, epochs=50.0, MSE: 0.0101
Parámetros: units=200.0, dropout_rate=0.2, epochs=100.0, MSE: 0.0103
Parámetros: units=200.0, dropout_rate=0.2, epochs=200.0, MSE: 0.0110
Parámetros: units=200.0, dropout_rate=0.3, epochs=50.0, MSE: 0.0107
Parámetros: units=200.0, dropout_rate=0.3, epochs=100.0, MSE: 0.0108
Parámetros: units=200.0, dropout_rate=0.3, epochs=200.0, MSE: 0.0104
Parámetros: units=200.0, dropout_rate=0.4, epochs=50.0, MSE: 0.0107
Parámetros: units=200.0, dropout_rate=0.4, epochs=100.0, MSE: 0.0104
Parámetros: units=200.0, dropout_rate=0.4, epochs=200.0, MSE: 0.0106
Parámetros: units=200.0, dropout_rate=0.5, epochs=50.0, MSE: 0.0105
Parámetros: units=200.0, dropout_rate=0.5, epochs=100.0, MSE: 0.0106
Parámetros: units=200.0, dropout_rate=0.5, epochs=200.0, MSE: 0.0108
