Mejores Hiperparámetros para LSTM:
Parámetros: {'units': 100, 'dropout_rate': 0.3, 'epochs': 200}
Error Cuadrático Medio (MSE) de la mejor combinación: 0.0278

Resultados de cada combinación de hiperparámetros:
Parámetros: units=50.0, dropout_rate=0.2, epochs=50.0, MSE: 0.0286
Parámetros: units=50.0, dropout_rate=0.2, epochs=100.0, MSE: 0.0296
Parámetros: units=50.0, dropout_rate=0.2, epochs=200.0, MSE: 0.0294
Parámetros: units=50.0, dropout_rate=0.3, epochs=50.0, MSE: 0.0292
Parámetros: units=50.0, dropout_rate=0.3, epochs=100.0, MSE: 0.0290
Parámetros: units=50.0, dropout_rate=0.3, epochs=200.0, MSE: 0.0296
Parámetros: units=50.0, dropout_rate=0.4, epochs=50.0, MSE: 0.0294
Parámetros: units=50.0, dropout_rate=0.4, epochs=100.0, MSE: 0.0291
Parámetros: units=50.0, dropout_rate=0.4, epochs=200.0, MSE: 0.0291
Parámetros: units=50.0, dropout_rate=0.5, epochs=50.0, MSE: 0.0294
Parámetros: units=50.0, dropout_rate=0.5, epochs=100.0, MSE: 0.0297
Parámetros: units=50.0, dropout_rate=0.5, epochs=200.0, MSE: 0.0293
Parámetros: units=100.0, dropout_rate=0.2, epochs=50.0, MSE: 0.0283
Parámetros: units=100.0, dropout_rate=0.2, epochs=100.0, MSE: 0.0370
Parámetros: units=100.0, dropout_rate=0.2, epochs=200.0, MSE: 0.0280
Parámetros: units=100.0, dropout_rate=0.3, epochs=50.0, MSE: 0.0284
Parámetros: units=100.0, dropout_rate=0.3, epochs=100.0, MSE: 0.0288
Parámetros: units=100.0, dropout_rate=0.3, epochs=200.0, MSE: 0.0278
Parámetros: units=100.0, dropout_rate=0.4, epochs=50.0, MSE: 0.0285
Parámetros: units=100.0, dropout_rate=0.4, epochs=100.0, MSE: 0.0287
Parámetros: units=100.0, dropout_rate=0.4, epochs=200.0, MSE: 0.0283
Parámetros: units=100.0, dropout_rate=0.5, epochs=50.0, MSE: 0.0287
Parámetros: units=100.0, dropout_rate=0.5, epochs=100.0, MSE: 0.0287
Parámetros: units=100.0, dropout_rate=0.5, epochs=200.0, MSE: 0.0287
Parámetros: units=150.0, dropout_rate=0.2, epochs=50.0, MSE: 0.0299
Parámetros: units=150.0, dropout_rate=0.2, epochs=100.0, MSE: 0.0286
Parámetros: units=150.0, dropout_rate=0.2, epochs=200.0, MSE: 0.0292
Parámetros: units=150.0, dropout_rate=0.3, epochs=50.0, MSE: 0.0281
Parámetros: units=150.0, dropout_rate=0.3, epochs=100.0, MSE: 0.0283
Parámetros: units=150.0, dropout_rate=0.3, epochs=200.0, MSE: 0.0286
Parámetros: units=150.0, dropout_rate=0.4, epochs=50.0, MSE: 0.0285
Parámetros: units=150.0, dropout_rate=0.4, epochs=100.0, MSE: 0.0284
Parámetros: units=150.0, dropout_rate=0.4, epochs=200.0, MSE: 0.0293
Parámetros: units=150.0, dropout_rate=0.5, epochs=50.0, MSE: 0.0281
Parámetros: units=150.0, dropout_rate=0.5, epochs=100.0, MSE: 0.0286
Parámetros: units=150.0, dropout_rate=0.5, epochs=200.0, MSE: 0.0280
Parámetros: units=200.0, dropout_rate=0.2, epochs=50.0, MSE: 0.0290
Parámetros: units=200.0, dropout_rate=0.2, epochs=100.0, MSE: 0.0286
Parámetros: units=200.0, dropout_rate=0.2, epochs=200.0, MSE: 0.0287
Parámetros: units=200.0, dropout_rate=0.3, epochs=50.0, MSE: 0.0286
Parámetros: units=200.0, dropout_rate=0.3, epochs=100.0, MSE: 0.0287
Parámetros: units=200.0, dropout_rate=0.3, epochs=200.0, MSE: 0.0282
Parámetros: units=200.0, dropout_rate=0.4, epochs=50.0, MSE: 0.0288
Parámetros: units=200.0, dropout_rate=0.4, epochs=100.0, MSE: 0.0279
Parámetros: units=200.0, dropout_rate=0.4, epochs=200.0, MSE: 0.0285
Parámetros: units=200.0, dropout_rate=0.5, epochs=50.0, MSE: 0.0282
Parámetros: units=200.0, dropout_rate=0.5, epochs=100.0, MSE: 0.0286
Parámetros: units=200.0, dropout_rate=0.5, epochs=200.0, MSE: 0.0286
