units,dropout_rate,epochs,mse
50,0.2,50,0.011840776726603507
50,0.2,100,0.011735941004008054
50,0.2,200,0.011479282099753619
50,0.3,50,0.011770742386579514
50,0.3,100,0.011574283335357904
50,0.3,200,0.0119241114705801
50,0.4,50,0.011965329106897116
50,0.4,100,0.011299925483763218
50,0.4,200,0.011966421920806169
50,0.5,50,0.012389960512518883
50,0.5,100,0.011699024867266417
50,0.5,200,0.012536842562258243
100,0.2,50,0.03066769507713616
100,0.2,100,0.010541105456650258
100,0.2,200,0.010566210839897394
100,0.3,50,0.011015896126627922
100,0.3,100,0.010870012640953063
100,0.3,200,0.0107820691075176
100,0.4,50,0.010745095508173107
100,0.4,100,0.010540850972756744
100,0.4,200,0.010857653524726629
100,0.5,50,0.010485117323696613
100,0.5,100,0.010561272921040653
100,0.5,200,0.01105765150859952
150,0.2,50,0.012834111228585243
150,0.2,100,0.009849136509001256
150,0.2,200,0.01088327905163169
150,0.3,50,0.025322115793824197
150,0.3,100,0.01045726276934147
150,0.3,200,0.010784871224313975
150,0.4,50,0.01055834898725152
150,0.4,100,0.010546728875488043
150,0.4,200,0.011370571050792932
150,0.5,50,0.010517686791718005
150,0.5,100,0.01095103556290269
150,0.5,200,0.01034032329916954
200,0.2,50,0.010105386562645435
200,0.2,100,0.010261386260390281
200,0.2,200,0.011033722851425409
200,0.3,50,0.010700167715549469
200,0.3,100,0.010775195620954036
200,0.3,200,0.01036867443472147
200,0.4,50,0.01067416649311781
200,0.4,100,0.010359272733330727
200,0.4,200,0.010598526801913977
200,0.5,50,0.010507069714367389
200,0.5,100,0.010559327621012925
200,0.5,200,0.010835423413664103
