units,dropout_rate,epochs,mse
50,0.2,50,0.028600287297740577
50,0.2,100,0.029604728519916534
50,0.2,200,0.029357985872775317
50,0.3,50,0.029188183695077898
50,0.3,100,0.029025368485599758
50,0.3,200,0.029559071362018585
50,0.4,50,0.029391580540686846
50,0.4,100,0.02910875449888408
50,0.4,200,0.029087100503966214
50,0.5,50,0.029385284706950187
50,0.5,100,0.029709949810057878
50,0.5,200,0.029274826124310493
100,0.2,50,0.02826004074886441
100,0.2,100,0.036979755060747264
100,0.2,200,0.028036209056153893
100,0.3,50,0.028375521302223206
100,0.3,100,0.028809931688010694
100,0.3,200,0.027844989486038686
100,0.4,50,0.028503463976085185
100,0.4,100,0.02873847046867013
100,0.4,200,0.028292395826429128
100,0.5,50,0.028657184215262532
100,0.5,100,0.02867235103622079
100,0.5,200,0.02866560546681285
150,0.2,50,0.029852165654301644
150,0.2,100,0.028577982308343054
150,0.2,200,0.02923460826277733
150,0.3,50,0.02814286258071661
150,0.3,100,0.028304032888263463
150,0.3,200,0.028565169684588908
150,0.4,50,0.02850216133520007
150,0.4,100,0.02844429356046021
150,0.4,200,0.029252772219479084
150,0.5,50,0.02813254464417696
150,0.5,100,0.028648634999990465
150,0.5,200,0.02803585007786751
200,0.2,50,0.029029454570263624
200,0.2,100,0.02860029982402921
200,0.2,200,0.028695946000516413
200,0.3,50,0.028597275074571372
200,0.3,100,0.028741785511374473
200,0.3,200,0.028226772462949155
200,0.4,50,0.02875835574232042
200,0.4,100,0.027895074058324098
200,0.4,200,0.02852728944271803
200,0.5,50,0.028240878181532026
200,0.5,100,0.028580487798899414
200,0.5,200,0.028642771858721973
