units,dropout_rate,epochs,mse
50,0.2,50,0.01463245521299541
50,0.2,100,0.06753428857773543
50,0.2,200,0.016911013377830388
50,0.3,50,0.015535493195056916
50,0.3,100,0.01489308695308864
50,0.3,200,0.015482208505272866
50,0.4,50,0.014560291124507786
50,0.4,100,0.015105975233018399
50,0.4,200,0.013857870642095805
50,0.5,50,0.014846717612817884
50,0.5,100,0.014311972167342901
50,0.5,200,0.014509100932627916
100,0.2,50,0.0168742879293859
100,0.2,100,0.016460991371423005
100,0.2,200,0.015224314294755459
100,0.3,50,0.014613870112225414
100,0.3,100,0.018530465429648757
100,0.3,200,0.019659817079082133
100,0.4,50,0.016145325638353823
100,0.4,100,0.01648976975120604
100,0.4,200,0.015026825293898583
100,0.5,50,0.015163866244256497
100,0.5,100,0.019142058957368136
100,0.5,200,0.017677630484104156
150,0.2,50,0.013152242545038462
150,0.2,100,0.017301570624113083
150,0.2,200,0.016393682966008783
150,0.3,50,0.012754263635724784
150,0.3,100,0.013243453437462449
150,0.3,200,0.016995065053924917
150,0.4,50,0.016621306678280233
150,0.4,100,0.01425424893386662
150,0.4,200,0.013486771192401648
150,0.5,50,0.013383658463135361
150,0.5,100,0.012325574504211545
150,0.5,200,0.014685131143778563
200,0.2,50,0.15437885597348214
200,0.2,100,0.014883766276761889
200,0.2,200,0.01551678255200386
200,0.3,50,0.055995841370895506
200,0.3,100,0.01559770959429443
200,0.3,200,0.015165339224040508
200,0.4,50,0.016785430116578938
200,0.4,100,0.01613802369683981
200,0.4,200,0.014714184636250138
200,0.5,50,0.01753351646475494
200,0.5,100,0.015747226448729633
200,0.5,200,0.015663241082802416
